trace_nb;log2(key_rank);correct_bytes;pge_median
10;72.23165279;1;10
20;68.40283119;0;10
30;67.91309988;2;9
40;66.79864571;2;11
50;65.26022764;2;10
60;64.40040692;3;11
70;64.27293834;3;11
80;63.95469622;2;10
90;63.7191553;1;8
100;63.54611843;2;8
110;63.76512022;2;7
120;63.66587877;1;7
130;63.6943811;0;9
140;63.73222849;1;9
150;63.79687393;0;8
160;63.85872428;0;10
170;63.92863944;1;9
180;64.10166532;1;9
190;64.16850335;1;10
200;63.83070752;1;8
210;63.65090696;1;9
220;63.64142681;1;8
230;63.69220961;1;8
240;63.616276;1;7
250;63.77071614;1;9
260;63.47060272;1;8
270;63.48728998;1;8
280;63.55005566;1;8
290;63.67389427;1;8
300;63.66859609;1;8
310;63.69239492;1;7
320;63.61898888;1;7
330;63.63997212;0;7
340;63.70044936;0;8
350;63.77613743;0;9
360;63.76978477;0;9
370;63.84295821;1;8
380;63.78561362;1;8
390;63.74865663;1;9
400;63.88131332;1;10
410;63.85083548;1;10
420;63.81436878;1;9
430;63.78979573;1;10
440;63.83461896;1;8
450;63.82297765;1;8
460;63.85585163;2;8
470;63.8598431;1;10
480;63.86705056;1;10
490;63.85367269;1;10
500;63.80362692;1;10
510;63.82465967;1;9
520;63.72467642;1;9
530;63.68722616;1;9
540;63.6865107;1;8
550;63.8378967;0;9
560;63.83137795;1;9
570;63.86893202;1;9
580;63.85669588;2;8
590;63.75131704;2;9
600;63.78130536;1;8
610;63.78150089;1;7
620;63.73053429;1;7
630;63.76758731;1;8
640;63.86449364;1;8
650;63.85636725;1;7
660;63.79552254;1;7
670;63.90814952;1;9
680;63.86431944;1;9
690;63.84826543;1;10
700;63.89620925;1;8
710;63.803895;1;9
720;63.75667841;1;7
730;63.77137609;1;7
740;63.72999816;1;9
750;63.65461401;1;8
760;63.74848161;1;7
770;63.78381158;1;7
780;63.66960778;1;7
790;63.69735184;1;9
800;63.67891354;1;8
810;63.72106469;1;8
820;63.7520562;1;8
830;63.72569254;1;8
840;63.72802423;1;7
850;63.76646639;1;8
860;63.68645178;1;8
870;63.63275004;1;8
880;63.63408706;1;8
890;63.65391904;1;7
900;63.75743307;1;7
910;63.58148557;1;7
920;63.6205571;1;8
930;63.66978939;1;8
940;63.70194179;1;8
950;63.70372893;1;8
960;63.62745416;2;8
970;63.72560307;2;8
980;63.52849119;2;8
990;63.51189034;2;8
1000;63.35865637;1;9
1100;63.66510296;1;9
1200;63.59673408;1;7
1300;63.71243708;1;8
1400;63.58403659;1;8
1500;63.48423232;1;7
1600;63.1158899;1;7
1700;63.05463761;1;7
1800;63.36992127;1;7
1900;63.39325185;2;7
2000;61.54845154;2;4
2100;61.19365084;3;6
2200;60.54263499;2;4
2300;60.68992859;1;5
2400;62.08832602;1;5
2500;62.57566726;1;6
2600;62.90913948;1;7
2700;61.75798038;1;5
2800;61.44466003;1;4
2900;61.45853105;1;4
3000;61.4071092;1;4
3100;61.01952043;1;4
3200;61.91498102;1;5
3300;61.31884111;1;5
3400;60.49533015;1;5
3500;60.97911655;2;5
3600;61.11372334;1;5
3700;60.28400566;1;5
3800;61.10172328;1;4
3900;61.5488594;1;4
4000;61.49044533;1;4
4100;60.69767659;1;4
4200;60.8145385;1;5
4300;61.33595209;1;5
4400;61.28366934;1;4
4500;60.38669011;3;4
4600;61.39359473;1;5
4700;59.53311182;2;5
4800;60.64312022;1;5
4900;60.69638756;1;4
5000;60.13035818;1;5
5100;60.26858674;1;6
5200;60.52670765;1;5
5300;60.70410306;1;6
5400;59.53113209;1;6
5500;60.31220197;1;7
5600;61.17912938;1;7
5700;61.27351673;1;6
5800;59.76409356;1;7
5900;60.58337567;0;6
6000;59.93975072;1;6
6100;60.53313532;1;5
6200;58.71971581;1;6
6300;60.95079827;2;6
6400;60.0541606;2;7
6500;61.26175419;2;7
6600;60.97355979;1;7
6700;61.37905846;1;7
6800;61.22651976;1;6
6900;61.53415484;2;6
7000;61.31907594;2;6
7100;61.32147576;2;5
7200;61.4402049;2;6
7300;61.82308188;2;6
7400;61.67003473;1;7
7500;61.00191303;1;7
7600;61.10728877;2;6
7700;61.00754432;2;6
7800;60.69272799;2;6
7900;60.09188411;2;5
8000;60.41988984;1;5
8100;60.94424164;1;6
8200;61.96094767;1;6
8300;61.8023176;1;7
8400;61.61867175;1;7
8500;61.80093829;1;6
8600;61.53315748;1;7
8700;60.68790487;1;7
8800;61.72640019;1;7
8900;62.01987544;0;6
9000;61.64721356;0;7
9100;61.80669003;1;6
9200;61.16681596;0;6
9300;61.75709464;1;6
9400;61.77799809;1;7
9500;61.03640131;1;6
9600;60.6728624;1;6
9700;60.32964512;2;6
9800;60.20424522;1;5
9900;60.41775448;1;5
10000;60.27565959;1;5
10250;59.4028005;0;4
10500;60.30980271;1;3
10750;60.50509239;0;4
11000;60.35691477;0;5
11250;62.04853678;0;4
11500;60.56576533;0;5
11750;59.44304242;1;4
12000;61.25820405;0;4
12250;58.80466095;0;3
12500;60.61804714;1;4
12750;60.56118536;1;5
13000;61.1104724;1;5
13250;60.25644106;0;5
13500;62.57069091;1;6
13750;62.72788386;1;6
14000;61.93778951;0;7
14250;62.01469552;0;6
14500;62.04502409;0;5
14750;62.55649901;0;6
15000;62.6336655;0;6
