trace_nb;log2(key_rank);correct_bytes;pge_median
10;127.5653689;1;166
15;127.6742312;0;142
20;127.7049947;0;155
25;127.7459948;0;166
30;127.575086;0;185
35;127.716907;0;159
40;127.5055592;0;162
45;127.1594116;0;124
50;127.0725;0;129
55;126.7084064;0;120
60;126.6302049;0;118
65;126.1753623;0;102
70;126.1221349;0;99
75;126.2961334;0;106
80;125.6148141;0;97
85;124.707333;0;103
90;123.4485113;0;84
95;122.488505;0;90
100;121.8364884;0;63
105;121.3096678;0;60
110;120.002466;0;46
115;119.8255839;0;37
120;118.953494;0;35
125;116.9783769;0;37
130;116.6422344;0;32
135;117.8456294;1;36
140;117.6001667;1;53
145;115.4864647;1;49
150;115.5313711;1;51
155;113.5502673;1;52
160;114.4477696;1;49
165;113.8149831;0;47
170;113.2996673;0;52
175;113.7068697;0;53
180;113.7520139;0;46
185;113.0241746;0;43
190;113.9023639;0;42
195;116.04942;0;55
200;114.72686;0;56
205;113.7252764;1;53
210;113.6358061;1;58
215;113.837283;1;53
220;113.9797736;1;49
225;113.1226176;0;59
230;113.4076138;0;56
235;114.5425947;0;52
240;114.8956331;0;56
245;114.8144788;0;53
250;115.86466;0;52
255;116.2721848;0;61
260;116.9294472;0;66
265;117.7077121;0;67
270;117.2085079;0;62
275;117.1374497;0;56
280;116.6494421;0;49
285;116.2054782;0;49
290;115.572321;1;48
295;114.8464378;0;41
300;115.5882997;0;43
305;115.9082886;0;45
310;116.9607583;0;48
315;118.0129843;0;48
320;118.5897184;0;56
325;119.2283479;0;55
330;119.7442517;0;65
335;119.8607108;0;66
340;120.3150631;0;66
345;119.9658526;0;63
350;120.133487;0;57
355;120.6928727;0;57
360;120.2389812;0;70
365;119.1885129;0;56
370;119.8117443;0;60
375;119.624132;0;67
380;119.7971509;0;64
385;119.7155594;0;62
390;118.875014;0;53
395;118.6408089;0;55
400;119.1741625;0;58
405;119.1648622;0;59
410;119.1668052;0;57
415;119.1396988;0;59
420;118.5890273;0;63
425;117.9287842;0;58
430;117.8600193;0;60
435;117.5315092;1;55
440;117.767313;1;61
445;118.1569194;1;60
450;118.28463;0;60
455;118.0126794;0;59
460;118.3242268;0;51
465;118.0851336;0;47
470;118.4507224;0;52
475;118.7510942;0;52
480;119.5972197;0;60
485;119.3516132;0;56
490;119.5829789;1;65
495;120.0719827;0;63
500;119.7481288;0;62
505;119.110501;0;48
510;119.1505181;0;51
515;119.2011296;0;55
520;118.9791871;0;57
525;119.4586122;0;57
530;119.4787366;0;59
535;118.5539176;0;55
540;119.3135935;0;58
545;119.5506124;0;66
550;119.0864762;0;62
555;119.0306434;0;50
560;119.8037814;0;54
565;119.8514745;0;54
570;120.6811192;0;58
575;120.6813271;0;62
580;119.6455357;0;57
585;119.419865;0;56
590;118.6418544;0;53
595;118.5726018;0;54
600;118.3673632;0;56
605;117.8358509;0;50
610;118.7295519;0;58
615;119.0062406;0;64
620;118.5784125;0;65
625;118.7441291;0;60
630;118.9155289;0;63
635;118.2384097;0;56
640;117.9265299;0;62
645;117.5620986;0;56
650;117.1122398;0;57
655;117.1169316;0;60
660;118.7052065;0;67
665;118.7146515;0;64
670;118.5685306;0;66
675;118.1990912;0;63
680;118.471879;0;66
685;117.8640584;0;58
690;117.7369534;0;53
695;118.119511;0;52
700;118.1173916;0;62
705;117.4193528;0;56
710;117.2049849;0;56
715;117.4539516;1;55
720;117.2745766;1;65
725;117.4002463;1;64
730;117.1727047;1;66
735;116.8750957;1;63
740;117.2362457;1;73
745;117.4296981;1;77
750;117.5434042;1;78
755;117.4169306;1;78
760;117.3161436;1;76
765;116.451478;1;71
770;115.7222597;1;69
775;116.2352991;1;73
780;115.8898739;1;70
785;115.2637838;1;70
790;115.4617787;1;67
795;116.1835641;1;72
800;116.2575399;0;69
805;115.781377;0;66
810;115.7096642;1;69
815;115.9560573;1;65
820;115.9991723;0;67
825;116.5911969;0;63
830;115.5094966;0;59
835;115.0385655;0;58
840;115.4654544;0;56
845;115.229115;0;57
850;115.0640744;0;56
855;115.8287911;0;60
860;115.9360808;0;66
865;115.877596;0;64
870;115.3350898;0;61
875;115.7505181;0;62
880;115.4487301;0;66
885;115.6263439;0;63
890;115.4938114;0;62
895;115.8420512;0;67
900;115.1700498;0;54
905;114.756288;0;55
910;114.7516439;1;55
915;114.152759;1;58
920;113.5989322;1;56
925;113.0055421;1;53
930;112.3685002;1;46
935;111.5316464;1;47
940;111.8172515;1;49
945;112.6063307;1;53
950;112.1900127;1;54
955;112.2732411;1;54
960;112.5540582;1;51
965;112.9590234;1;52
970;112.479348;1;52
975;112.8999553;1;56
980;113.1287497;1;52
985;112.9270632;1;51
990;113.5929375;1;51
995;113.327833;1;56
1000;114.1927595;1;57
1050;112.6104288;0;48
1100;111.9142606;0;58
1150;111.4759883;0;53
1200;111.0405344;0;42
1250;111.7091846;0;46
1300;109.6131905;0;37
1350;107.7639292;0;29
1400;105.7407211;1;26
1450;105.911174;1;36
1500;103.6991695;2;32
1550;106.7085127;1;41
1600;106.7602109;1;37
1650;104.8129063;2;33
1700;104.1795242;1;36
1750;103.0357095;1;32
1800;104.5215506;1;23
1850;104.3617165;2;26
1900;106.6884178;1;27
1950;104.7911414;1;23
2000;104.570533;1;25
2050;105.0582886;1;30
2100;105.2329927;1;27
2150;104.0277894;1;22
2200;103.3620471;1;20
2250;101.3559448;1;20
2300;100.2904745;1;20
2350;99.57200581;1;17
2400;97.5786552;1;19
2450;98.49479834;1;18
2500;98.16119005;1;15
2550;95.62232985;1;11
2600;95.80595958;1;13
2650;95.114462;1;11
2700;94.67196482;0;13
2750;95.5738495;1;12
2800;97.89294629;0;14
2850;98.14554595;0;12
2900;98.28277208;0;13
2950;96.70562328;1;13
3000;97.42001021;1;13
3050;97.51864684;1;12
3100;95.87017804;1;10
3150;95.94673918;1;11
3200;96.96238233;1;12
3250;96.39323235;1;11
3300;95.19845763;1;9
3350;95.43322805;1;8
3400;95.42321621;0;10
3450;95.19320087;0;9
3500;95.10663104;0;11
3550;95.35645939;0;11
3600;94.22459037;0;10
3650;94.69830875;0;11
3700;94.13531146;1;9
3750;92.50291185;1;10
3800;92.72678486;1;9
3850;92.29629625;2;11
3900;90.34317593;2;8
3950;90.34581245;1;8
4000;87.58197035;3;6
4050;87.98197707;3;6
4100;88.14886448;2;7
4150;87.81164561;2;5
4200;87.5654504;2;4
4250;87.26874321;2;6
4300;87.48871129;2;6
4350;85.89771615;3;5
4400;86.52896536;3;4
4450;84.93202172;3;3
4500;83.90131531;3;3
4550;82.61051119;3;3
4600;81.59524252;4;3
4650;81.61883913;3;3
4700;80.95879936;3;3
4750;80.99117421;4;3
4800;81.07208662;4;3
4850;80.9138167;4;3
4900;79.92688488;4;3
4950;80.06708022;4;3
5000;79.3824565;4;3
5050;78.39155129;4;3
5100;77.79144473;4;3
5150;77.84588301;4;3
5200;76.46667188;4;3
5250;78.16399156;4;3
5300;77.36821921;4;3
5350;75.98608851;4;3
5400;75.24186268;4;2
5450;74.48058453;4;2
5500;73.75711743;4;2
5550;73.88929937;4;2
5600;73.1276935;4;2
5650;72.76926429;4;2
5700;72.85063454;4;2
5750;72.23521363;4;2
5800;71.72613317;4;2
5850;71.24009278;4;2
5900;70.14977716;5;1
5950;70.06184737;5;2
6000;70.63394905;4;2
6050;70.7362932;4;2
6100;70.93895694;4;2
6150;71.75881299;4;2
6200;71.82467507;4;2
6250;70.91670794;3;2
6300;71.15218559;3;2
6350;71.10031445;3;2
6400;70.93087585;3;2
6450;70.18371458;3;2
6500;69.6050129;4;2
6550;69.44701623;4;2
6600;68.82488909;4;2
6650;68.08958889;4;2
6700;67.74516035;4;2
6750;67.43846668;4;2
6800;67.37453179;4;2
6850;66.55180651;4;2
6900;66.99535822;4;2
6950;66.18425091;4;2
7000;65.12432744;4;2
7050;65.03177564;4;2
7100;64.73943334;3;2
7150;63.97070328;3;2
7200;63.55012513;3;2
7250;63.98007323;3;2
7300;64.4839134;4;2
7350;64.34014714;3;2
7400;63.83447283;4;2
7450;63.82392463;3;2
7500;64.18407287;3;2
7550;64.02861586;3;2
7600;63.76704765;3;1
7650;63.62278319;2;1
7700;63.2749825;3;1
7750;63.48221802;3;1
