trace_nb;log2(key_rank);correct_bytes;pge_median
10;96.3581133;0;18
15;99.80692392;0;24
20;90.39186239;1;22
25;85.67644656;1;12
30;83.80801179;1;9
35;84.07071019;1;10
40;92.75970694;0;16
45;87.64649359;1;18
50;84.23344494;1;15
55;81.62754603;2;15
60;83.46070076;1;15
65;83.87572578;0;13
70;83.29556867;0;13
75;80.46778404;0;13
80;79.59580226;1;10
85;77.03277313;0;8
90;77.58426782;0;8
95;78.01921311;1;10
100;78.75687808;1;10
105;78.29924788;1;11
110;77.91890276;1;10
115;76.3455031;1;10
120;75.77785288;1;9
125;75.83844374;1;10
130;75.04247637;0;9
135;74.83087029;0;10
140;75.05158094;0;11
145;74.67235925;0;9
150;74.06820089;0;10
155;73.97280349;0;9
160;72.9786874;0;9
165;73.04138934;0;9
170;72.06152789;0;8
175;71.80694276;0;8
180;71.33778905;0;8
185;70.51288641;0;7
190;69.87491408;0;8
195;69.66343097;0;7
200;68.74247281;0;6
205;69.2052963;0;6
210;68.56350375;0;6
215;69.14421207;0;8
220;68.40526442;0;7
225;68.22792997;0;7
230;67.67524587;0;7
235;67.9615357;0;7
240;67.80571613;0;7
245;68.29421755;0;7
250;68.89173666;0;7
255;69.67554049;0;9
260;70.03463105;1;9
265;69.38420567;1;9
270;69.25000446;1;9
275;68.98759724;1;9
280;69.43306169;1;9
285;69.47424926;1;9
290;69.69289152;1;9
295;70.03943578;1;10
300;69.23991976;1;9
305;69.08120962;1;9
310;70.22955576;1;9
315;69.81460068;1;9
320;69.66002864;1;9
325;69.68263929;1;9
330;69.70174503;1;9
335;69.40210353;1;9
340;70.01477357;1;10
345;69.44741834;1;9
350;68.90945786;1;9
355;69.02872723;1;9
360;69.10175579;1;10
365;68.62200434;1;8
370;68.74675229;0;8
375;69.44309057;0;9
380;68.90206728;0;9
385;68.62068002;0;8
390;68.04033939;0;8
395;67.65549083;0;8
400;67.6051951;0;9
405;68.0945396;0;9
410;67.84979333;0;9
415;67.71734746;0;9
420;68.44261378;0;9
425;68.70480322;0;10
430;68.41355896;0;9
435;67.9994574;0;8
440;67.56126218;0;8
445;67.29189964;0;8
450;67.79604096;0;8
455;67.37008699;0;7
460;67.54766607;0;7
465;66.92658393;0;7
470;66.19608935;0;7
475;65.83414502;0;7
480;65.81475911;0;8
485;65.77850626;0;8
490;65.04549713;0;7
495;65.01977514;0;6
500;65.31034199;0;6
505;65.12791509;0;6
510;65.39426692;0;7
515;64.72385735;0;7
520;64.987165;1;6
525;64.84904641;1;6
530;65.233361;1;6
535;65.7354553;1;7
540;65.92273455;1;6
545;65.99413472;1;8
550;65.54548303;1;8
555;65.82086819;1;8
560;65.32561592;1;8
565;65.30149756;0;8
570;65.36735167;0;8
575;65.1860901;0;7
580;65.22815832;0;6
585;65.00537688;0;7
590;65.40135866;0;7
595;65.14334281;0;7
600;65.01047057;0;6
605;65.02349398;0;7
610;65.51472851;0;7
615;65.09754294;1;7
620;64.81354049;1;7
625;64.93750372;1;6
630;65.25250548;1;6
635;64.81316457;1;7
640;64.51542576;1;7
645;64.66170417;1;6
650;64.81107888;1;8
655;65.31501557;1;8
660;65.41296798;1;8
665;65.21434639;1;9
670;65.17445158;1;7
675;64.74291674;1;7
680;64.81296868;1;7
685;65.27291126;1;8
690;65.23421086;1;8
695;64.73727273;1;8
700;65.12858293;1;8
705;65.24464139;1;8
710;64.74617342;1;7
715;64.79439243;1;7
720;65.14253087;1;7
725;65.39626976;1;8
730;64.5877522;1;7
735;65.31622732;1;7
740;65.2519468;1;8
745;65.24174118;0;8
750;65.11974364;0;8
755;65.1569257;0;8
760;64.85690639;0;8
765;64.88891426;1;8
770;65.09739551;0;8
775;65.28830981;0;8
780;65.09546685;0;8
785;64.98408122;0;8
790;64.76954999;0;8
795;64.7944399;0;8
