trace_nb;log2(key_rank);correct_bytes;pge_median
10;94.5563121;1;18
135;68.68964931;1;5
260;68.65959456;0;6
385;68.44549062;0;6
510;65.55191774;1;5
635;64.14776421;1;5
760;64.53140681;0;6
885;64.89042675;0;6
1000;63.94048377;2;5
1250;62.75025403;2;6
1500;61.57610761;3;6
1750;60.84456437;2;4
2000;61.30202658;1;6
2250;61.16705368;1;5
2500;60.89492312;2;6
2750;61.15335802;0;4
3000;60.85907918;0;6
3250;61.285904;1;6
3500;61.32962283;1;4
3750;62.34718112;1;7
4000;62.07336228;0;6
4250;62.7610485;1;7
4500;62.33280989;1;7
4750;62.78757013;1;7
5000;62.29180271;2;6
5250;62.89234052;2;7
5500;63.00650953;1;8
5750;63.19670436;1;7
6000;63.07731642;0;8
6250;62.67571916;1;7
6500;62.61490588;2;5
6750;62.7573672;2;6
7000;62.34446112;2;7
7250;62.79316487;1;6
7500;62.49112548;0;5
7750;63.02988039;1;5
8000;63.3750631;1;6
8250;63.49881778;1;6
8500;63.59318074;1;6
8750;63.43290103;0;6
9000;63.46252191;0;6
9250;63.31104455;0;7
9500;63.1669413;1;6
9750;63.48834149;0;6
10000;63.32140343;1;6
10500;63.29196161;0;8
11000;63.30777219;0;8
11500;63.33990331;0;7
12000;63.23115947;0;7
12500;63.50595576;0;8
13000;63.60695076;0;7
13500;63.75041308;0;8
14000;63.77831839;0;7
14500;63.87830014;0;7
15000;63.75222722;0;7
15500;63.76232884;1;7
16000;63.83486077;0;7
16500;63.73711879;2;6
17000;63.68387442;1;7
17500;63.53407736;1;6
18000;63.65359187;1;6
18500;63.28675499;1;6
19000;63.51139022;1;6
19500;63.19592494;1;6
20000;62.93713573;1;5
