trace_nb;log2(key_rank);correct_bytes;pge_median
10;99.41021281;1;26
135;80.08015798;1;9
260;80.21221079;1;12
385;75.99942107;1;11
510;73.22619858;1;10
635;72.81703024;1;12
760;71.09792298;1;9
885;68.63154524;1;10
1000;68.32741547;0;9
1250;67.0081979;1;11
1500;66.09827252;1;10
1750;65.57023642;1;8
2000;66.26819853;0;8
2250;66.78040424;1;9
2500;66.20656246;1;8
2750;64.96881323;1;9
3000;65.16306043;1;8
3250;65.334738;1;8
3500;65.87092842;1;8
3750;65.4957404;1;8
4000;65.55408019;1;8
4250;64.57755301;1;10
4500;65.33948547;1;8
4750;65.61941047;0;9
5000;65.13074231;0;10
5250;65.15753669;0;10
5500;65.33632825;0;11
5750;65.42771814;1;11
6000;65.46987066;1;11
6250;64.98971319;0;10
6500;64.94373251;0;10
6750;64.32352769;0;10
7000;64.54258671;2;10
7250;64.53310992;1;11
7500;64.65022818;0;10
7750;64.32573288;1;11
8000;64.49079947;1;11
8250;64.85522317;0;11
8500;65.23737924;1;11
8750;64.98061082;1;12
9000;64.74423272;1;11
9250;64.49861616;1;10
9500;64.2210738;0;11
9750;64.4674002;1;11
10000;64.72465283;1;10
10500;64.52223137;0;10
11000;64.26299318;0;11
11500;64.1353795;0;10
12000;63.87893238;0;10
12500;64.07324692;0;11
13000;64.09086144;0;10
13500;63.86665594;1;11
14000;63.85796272;1;12
14500;64.01941811;1;11
15000;63.95833243;0;10
15500;63.92302041;1;10
16000;63.90749359;0;11
16500;63.88127936;0;11
17000;63.90874905;1;10
17500;63.84540302;2;10
18000;63.84148113;2;10
18500;63.49812119;2;8
19000;63.6883929;2;7
19500;63.57176781;2;7
20000;63.64429366;2;8
