trace_nb;log2(key_rank);correct_bytes;pge_median
10;125.0312414;0;92
15;124.3050723;0;95
20;123.0891807;0;91
25;122.574669;0;81
30;118.6567974;1;62
35;118.3211913;1;73
40;117.5426655;1;77
45;119.3028104;0;84
50;119.1984352;0;58
55;119.1632521;1;61
60;118.9385511;1;70
65;120.4841215;0;61
70;121.4096692;1;67
75;122.1713905;0;70
80;123.4031832;0;82
85;122.9317153;0;73
90;121.8020265;0;55
95;119.1629141;0;53
100;119.1891909;0;60
105;118.0698521;0;48
110;115.5603479;0;46
115;115.4923962;0;47
120;115.0954789;0;47
125;113.7284143;0;48
130;111.6284626;0;45
135;108.5320398;0;39
140;108.2601023;0;36
145;108.9714958;0;29
150;108.1409802;0;32
155;113.3457193;0;54
160;112.5750468;0;51
165;111.694355;0;46
170;111.4893188;0;42
175;111.772201;0;49
180;111.6037595;0;47
185;110.6584852;0;50
190;109.8541776;0;39
195;108.8744949;1;35
200;107.4678266;1;36
205;107.6454968;1;35
210;107.7841372;0;38
215;108.4447759;0;40
220;109.1677592;0;38
225;108.4762738;0;37
230;107.1891624;0;37
235;107.4747781;0;39
240;107.590052;0;35
245;109.0802602;0;34
250;109.5946599;0;33
255;108.5943306;0;29
260;108.4067408;0;31
265;108.3743303;0;34
270;109.4186294;0;33
275;108.4485267;0;40
280;108.2495871;0;39
285;109.3524026;0;37
290;108.6389279;0;33
295;109.3579205;0;34
300;110.2424689;0;36
305;110.8497091;0;40
310;110.6025632;0;39
315;111.1568536;0;38
320;111.2874667;0;37
325;110.3979629;0;34
330;109.2555119;0;31
335;109.5046381;0;32
340;109.4088403;0;31
345;108.9607337;0;29
350;108.1383141;0;33
355;107.302518;0;34
360;106.8497236;0;32
365;107.4089244;0;32
370;107.9910043;0;36
375;108.0793743;0;34
380;108.1519064;0;32
385;106.3064279;0;27
390;105.7920044;0;28
395;105.3633362;0;36
400;105.6002496;0;34
405;105.2363979;0;33
410;105.374734;0;31
415;104.5386602;0;31
420;104.8704757;0;32
425;104.943458;0;27
430;105.1304218;0;26
435;104.3203163;0;27
440;104.1241072;0;22
445;103.5895156;0;24
450;103.0272008;0;24
455;102.5897345;0;23
460;102.0659708;0;23
465;102.4929826;0;21
470;102.3129102;0;20
475;102.3920659;0;22
480;102.7767363;0;22
485;102.1189109;0;22
490;102.1332415;0;22
495;101.4018898;0;20
500;100.742736;0;19
505;99.94932695;0;19
510;97.940377;0;19
515;98.03237947;1;19
520;97.77884763;1;20
525;96.81797975;0;18
530;95.97289955;1;18
535;96.11199602;1;17
540;94.9902183;1;15
545;95.95270693;1;18
550;95.93313314;1;19
555;96.06702266;1;18
560;96.45838903;1;18
565;95.87898755;1;17
570;96.11677849;1;18
575;95.6513288;1;20
580;95.58949892;1;22
585;95.49448114;1;20
590;95.52216432;1;21
595;94.75128865;1;19
600;96.69950613;1;19
605;95.98747037;1;18
610;95.52237709;1;17
615;96.17444954;0;18
620;95.86527753;0;18
625;96.18539569;0;18
630;95.91998677;0;16
635;96.69478901;0;17
640;97.07567615;0;17
645;96.45441989;0;16
650;97.27361136;0;16
655;97.45249083;0;16
660;98.19622387;0;19
665;98.05620298;0;19
670;98.85459574;0;20
675;98.47745011;0;18
680;98.24776248;1;19
685;97.92406014;0;17
690;96.55658051;0;16
695;96.38470601;0;15
700;95.12355313;0;12
705;94.95319261;0;13
710;95.22582724;0;13
715;95.37119111;0;13
720;95.96208414;0;14
725;95.83295499;0;15
730;94.58095067;0;15
735;94.69977597;0;13
740;94.52894178;0;9
745;96.17544726;0;11
750;96.66984207;0;13
755;97.29011281;1;12
760;97.63118124;0;14
765;96.88702211;0;12
770;95.90108835;0;10
775;94.78661731;0;9
780;95.17287642;0;9
785;96.2021065;0;12
790;96.00803409;0;15
795;94.98705768;0;13
800;94.25738739;0;15
805;94.08341893;0;14
810;94.31366893;0;15
815;94.23175856;0;14
820;93.62148137;0;14
825;93.22619529;0;13
830;92.69683319;0;12
835;93.55474929;0;11
840;92.50928683;0;9
845;92.6849431;0;11
850;92.58281298;0;12
855;92.9310278;0;11
860;92.53080421;0;11
865;92.60957922;0;11
870;91.48615615;0;11
875;90.42554081;0;11
880;89.72130339;0;9
885;88.95319749;0;11
890;88.52765745;0;10
895;89.05843725;1;9
900;87.94966964;1;8
905;88.27732484;1;9
910;88.01944467;1;9
915;88.47501905;1;9
920;89.50925482;0;8
925;90.1530501;0;8
930;89.8827795;0;8
935;89.54945904;0;8
940;90.02584788;0;8
945;89.900483;0;8
