trace_nb;log2(key_rank);correct_bytes;pge_median
10;111.3156511;0;27
135;86.17300679;1;8
260;87.11402364;0;10
385;83.1168376;1;11
510;81.93018357;0;11
635;79.36194152;1;9
760;79.92206478;1;11
885;75.79077666;2;7
1000;77.04517609;2;9
1250;79.86203321;2;11
1500;77.04544751;2;10
1750;74.05419353;3;9
2000;71.37746701;2;8
2250;69.01380945;2;8
2500;68.92385442;1;6
2750;68.963054;2;6
3000;69.7360822;1;6
3250;68.12584466;1;7
3500;70.38308647;1;7
3750;71.22359477;1;6
4000;72.83069662;1;5
4250;73.25212651;1;7
4500;73.59271925;1;8
4750;74.04309137;1;7
5000;74.32963164;1;7
5250;73.93782337;1;8
5500;74.42895691;1;10
5750;75.28355317;1;10
6000;74.34120301;1;9
6250;74.32828541;1;9
6500;73.22337733;1;8
6750;73.61613395;1;10
7000;73.61984406;1;10
7250;72.98242337;1;9
7500;73.11003887;1;11
7750;73.40810509;1;10
8000;73.46953199;1;11
8250;73.79255046;1;10
8500;73.51262331;1;10
8750;73.30281073;1;10
9000;73.12010748;1;11
9250;73.00240123;1;9
9500;73.14298928;1;8
9750;73.58933262;1;9
10000;73.59815165;1;9
10500;72.94639893;1;9
11000;73.12519501;1;9
11500;73.49085915;1;9
12000;72.39878399;1;8
12500;72.51964205;1;8
13000;72.60459205;1;10
13500;72.29829542;1;9
14000;71.55085958;1;8
14500;71.15203337;1;8
15000;71.35098855;1;8
15500;71.2686355;1;8
16000;71.23781458;1;8
16500;66.80161938;0;8
17000;66.69715081;0;7
17500;66.20421516;0;6
18000;65.44663659;0;5
18500;65.29646372;0;5
