trace_nb;log2(key_rank);correct_bytes;pge_median
10;103.0551179;1;28
135;80.60503358;0;7
260;81.51991841;0;8
385;78.35085929;1;9
510;74.78884485;3;6
635;73.68387158;3;6
760;75.5290546;1;8
885;73.47410928;1;8
1000;74.2416915;2;6
1250;73.31168551;1;7
1500;71.27572398;0;5
1750;72.09107116;1;5
2000;71.08472752;1;6
2250;71.30965932;0;6
2500;71.1110642;2;7
2750;70.80337109;2;8
3000;71.12119844;2;8
3250;70.66245316;2;7
3500;71.09623433;1;7
3750;70.67814679;2;7
4000;70.07709388;1;7
4250;70.18111441;1;8
4500;69.95506328;1;7
4750;70.43452649;1;10
5000;69.99432682;1;8
5250;70.017148;1;8
5500;71.46732238;1;9
5750;71.21589801;1;10
6000;70.98907878;1;9
6250;71.43596798;1;10
6500;71.20657281;1;10
6750;71.9915519;1;12
7000;71.88913373;1;11
7250;71.55729646;1;10
7500;72.02709501;1;10
7750;72.44503253;1;11
8000;72.31717816;1;12
8250;72.7940667;1;12
8500;72.58590454;1;11
8750;72.83090447;1;11
9000;72.82371568;2;11
9250;73.12793912;1;12
9500;72.81434134;2;12
9750;73.11558171;2;12
10000;72.36504406;2;12
10500;72.0021499;2;10
11000;71.87109185;2;10
11500;71.87385127;2;10
12000;71.69994408;2;10
12500;71.78897009;2;10
13000;71.91421614;2;10
13500;71.73177333;2;10
14000;71.82212225;2;10
14500;71.70960964;2;10
15000;72.07209258;1;10
15500;72.1415957;1;10
16000;72.06981732;1;11
16500;68.08944779;1;9
17000;68.2047983;1;11
17500;67.86615107;1;10
18000;67.61823444;1;9
18500;67.6355038;1;8
