trace_nb;log2(key_rank);correct_bytes;pge_median
10;113.7108118;0;58
50;103.3525402;0;32
90;94.0842659;0;23
130;89.61621345;0;20
170;88.11014785;0;17
210;87.08034789;1;16
250;85.55210859;1;15
290;85.45533768;0;18
330;85.86418917;0;16
370;84.31354665;0;12
410;81.67521416;1;10
450;82.25226901;1;11
490;80.38626247;1;10
530;79.47387379;1;9
570;81.30860873;1;12
610;77.65574621;1;11
650;76.82799637;1;11
690;76.9868707;3;11
730;75.57157726;2;9
770;74.29249861;2;10
810;72.64223015;1;8
850;73.49924897;1;8
890;73.77515252;1;10
930;75.56814231;1;9
970;76.01981327;1;10
1010;73.84985577;1;9
1050;72.93128079;1;9
1090;71.3915554;2;9
1130;70.32082427;1;8
1170;69.34363129;1;7
1210;70.2483161;1;8
1250;69.52732046;1;8
1290;70.21781075;0;8
1330;70.53089857;0;7
1370;68.61592305;1;8
1410;69.30497991;0;7
1450;67.4061731;0;7
1490;67.98321325;0;7
