trace_nb;log2(key_rank);correct_bytes;pge_median
10;124.3915275;0;127
50;121.7457643;0;106
90;112.8989243;0;61
130;110.2656414;0;50
170;105.811694;0;34
210;104.242994;1;29
250;103.3533527;0;30
290;103.4790449;1;31
330;104.0411577;0;31
370;103.0791682;0;31
410;101.8525856;0;30
450;103.1070408;0;32
490;101.8392356;0;29
530;100.3932837;0;24
570;101.2647443;0;24
610;97.91252543;0;18
650;97.00553651;0;20
690;96.60812364;0;17
730;96.62799006;0;17
770;96.91691857;0;18
810;96.0430218;0;18
850;95.95659127;0;20
890;96.89666308;0;25
930;97.15374769;0;26
970;97.3975118;0;23
1010;96.21324036;0;20
1050;96.80744156;0;19
1090;96.00140821;0;18
1130;95.85791496;0;19
1170;96.04128746;0;19
1210;96.8371978;0;17
1250;95.52159539;0;14
1290;96.4814997;0;14
1330;96.77878443;0;17
1370;96.3291996;0;14
1410;95.89426742;0;13
1450;94.84701269;0;14
1490;94.51357045;0;13
