trace_nb;log2(key_rank);correct_bytes;pge_median
10;124.7438326;0;138
50;122.4600898;0;106
90;115.3717501;0;54
130;112.3693252;0;42
170;100.3297936;0;27
210;98.55284535;0;25
250;98.17878628;0;22
290;98.41738118;0;27
330;98.90841617;1;27
370;98.15923209;1;24
410;96.89463596;1;27
450;97.73857268;1;28
490;95.6635873;1;19
530;93.13574412;1;19
570;94.89269286;1;25
610;94.16442201;1;19
650;92.74834961;1;18
690;92.49245904;1;16
730;92.04350042;1;16
770;92.10501938;1;17
810;90.42806431;1;18
850;91.3448479;1;19
890;92.09074738;1;21
930;92.14497554;1;20
970;92.01774073;0;20
1010;91.26902301;0;19
1050;92.47073755;1;18
1090;91.48159036;1;16
1130;91.42071303;0;14
1170;91.75161871;1;16
1210;91.70698079;1;14
1250;91.54469748;1;14
1290;92.36005064;1;15
1330;91.73802928;1;15
1370;90.76775634;1;15
1410;90.71565202;1;15
1450;89.55953431;1;13
1490;89.75231393;1;13
