trace_nb;log2(key_rank);correct_bytes;pge_median
10;127.9382067;0;185
15;127.5902595;0;144
20;127.7161748;0;159
25;127.7385244;0;154
30;127.6223502;0;140
35;127.6248537;0;153
40;127.1960302;0;139
45;126.9822076;0;145
50;126.7951574;0;132
55;126.6893313;0;120
60;126.7134569;0;128
65;126.8143461;0;121
70;126.5868775;0;97
75;126.5528463;0;107
80;126.5719154;0;125
85;125.9281842;0;98
90;125.5560124;1;108
95;124.4356827;1;104
100;124.26064;0;98
105;124.9593002;0;107
110;124.5019164;1;98
115;124.0200795;1;102
120;123.3236583;1;98
125;122.1674506;1;100
130;120.9903229;1;79
135;120.681889;1;92
140;121.7057391;1;81
145;120.0079912;1;74
150;119.8596519;0;62
155;119.6895729;1;56
160;120.3626614;0;62
165;120.3981749;0;60
170;119.5955887;0;58
175;118.9569039;0;57
180;117.182243;0;46
185;115.8358255;0;40
190;117.3051074;0;44
195;118.2557965;0;52
200;117.7357619;0;60
205;116.1135218;0;48
210;115.5914493;0;50
215;115.7685541;0;49
220;114.9240668;0;49
225;113.7097544;1;43
230;113.3281873;1;44
235;113.4715792;1;40
240;113.0838957;1;37
245;112.9196244;1;36
250;114.0853924;1;41
255;114.0990486;1;48
260;115.1270079;1;50
265;115.9835973;1;54
270;115.6070348;1;61
275;115.926796;1;59
280;114.7651703;1;47
285;113.8460801;1;54
290;112.8034531;1;46
295;112.8427664;1;47
300;113.7960194;1;48
305;113.5149013;1;51
310;114.6101372;0;50
315;114.5161173;0;57
320;114.9574598;0;50
325;116.8449029;0;59
330;116.5539033;1;60
335;116.4745115;1;65
340;116.9629407;1;68
345;116.3437557;0;67
350;116.6779573;1;70
355;117.5540584;1;72
360;117.2936679;1;72
365;117.2913663;1;77
370;117.6126887;1;72
375;118.3270127;1;73
380;118.500529;0;83
385;118.4999605;0;88
390;117.5914939;0;77
395;117.0006432;1;77
400;116.4491183;1;72
405;116.2629497;1;65
410;116.3763402;1;72
415;116.4725274;1;80
420;116.0099214;1;78
425;116.1719601;1;70
430;116.208383;0;70
435;115.1999052;1;72
440;115.0669083;1;75
445;115.0050372;1;76
450;115.4521074;0;72
455;115.0141838;0;69
460;114.7671683;1;68
465;114.7717951;2;68
470;114.6413625;1;68
475;115.105208;1;72
480;115.4719776;1;78
485;115.0166866;1;71
490;115.6076205;1;72
495;115.4539842;1;80
500;115.4790597;1;74
505;115.5644245;1;73
510;115.7142473;1;72
515;115.4203182;1;73
520;116.1780454;1;86
525;116.1642766;1;72
530;115.8199583;1;73
535;115.2798181;0;75
540;115.4600533;1;82
545;115.4887502;0;77
550;115.2135654;1;72
555;115.1804473;1;71
560;115.533341;1;68
565;114.9808533;1;63
570;115.2943739;0;69
575;115.1563202;1;70
580;114.0447564;1;67
585;113.4857957;1;66
590;112.7496608;1;78
595;112.0296628;1;73
600;112.5682171;1;64
605;111.8889879;1;58
610;112.5634032;1;60
615;113.2071035;1;60
620;113.6396538;1;69
625;114.067132;1;63
630;114.0687282;1;62
635;113.7874668;1;60
640;114.1720729;1;74
645;113.7621238;1;68
650;113.7905643;1;76
655;114.3201688;1;75
660;115.0441486;1;65
665;114.7204012;1;58
670;114.3571158;1;61
675;114.0789333;1;50
680;114.5455009;1;57
685;114.6024858;1;66
690;114.6250497;1;61
695;114.747372;1;60
700;114.9188419;1;55
705;114.5653501;1;58
710;114.5420778;1;53
715;115.0485772;1;61
720;115.0329135;0;63
725;114.9927229;1;60
730;115.0226689;1;64
735;114.8289649;1;60
740;115.1853917;1;63
745;114.5226018;1;56
750;115.0988829;1;54
755;114.85282;1;55
760;114.4997852;1;51
765;114.0567764;1;50
770;113.3953791;1;50
775;113.8599661;1;52
780;113.6757384;1;53
785;113.3620082;1;54
790;113.260971;1;46
795;112.9069483;1;54
800;112.2256517;1;50
805;111.8448769;1;50
810;112.0228162;1;48
815;112.1823665;1;52
820;111.9799453;1;51
825;113.0697545;1;53
830;112.6631199;1;49
835;112.0156815;1;46
840;112.1290756;1;47
845;112.0135102;1;45
850;111.5654473;1;48
855;113.1134469;1;60
860;113.1236585;2;55
865;113.3981387;2;52
870;112.75904;2;54
875;112.672278;2;52
880;113.078797;2;54
885;113.2585533;2;50
890;112.7848426;1;49
895;112.6347655;1;49
900;111.773088;1;46
905;111.3214517;1;50
910;110.9955312;1;54
915;110.1430024;1;53
920;110.7815453;1;53
925;110.3209593;1;56
930;109.8016342;1;54
935;109.1479287;1;49
940;109.2292825;1;49
945;109.6973548;1;49
950;109.308212;1;50
955;109.7616631;1;47
960;109.534748;1;45
965;109.3692317;1;42
970;108.6148095;1;34
975;108.0221408;1;38
980;108.026121;1;37
985;108.4407729;1;43
990;109.3271979;1;46
995;108.5715968;1;41
1000;108.7634019;1;40
1050;110.1055154;1;49
1100;111.2169557;1;47
1150;108.9470753;1;32
1200;108.8025302;1;37
1250;107.883365;1;36
1300;107.0475627;1;30
1350;105.1363164;2;26
1400;102.7785551;1;23
1450;101.4443627;2;21
1500;98.90000921;2;19
1550;101.1770202;2;22
1600;101.0940284;2;16
1650;100.5521473;2;20
1700;99.03131405;2;17
1750;98.21457905;2;16
1800;98.30431527;2;19
1850;96.509587;2;18
1900;96.20957958;2;17
1950;95.16404926;2;16
2000;93.80084882;2;14
2050;92.4230077;2;12
2100;91.36699482;2;11
2150;90.66283967;2;9
2200;89.63347289;2;12
2250;89.42155721;1;10
2300;87.30678259;1;8
2350;87.49510938;2;8
2400;86.52787779;2;7
2450;87.66112691;2;7
2500;86.70837562;2;8
2550;85.25109754;0;9
2600;83.14112758;1;8
2650;83.28238115;1;7
2700;83.86147682;0;5
2750;84.09768576;0;7
2800;83.3328904;0;8
2850;81.61400208;1;8
2900;81.59029357;1;6
2950;80.46799766;2;6
3000;80.64045372;2;5
3050;80.79545278;2;6
3100;78.37769432;3;4
3150;77.82403104;3;4
3200;79.44553799;2;5
3250;77.86226113;2;5
3300;76.22057838;2;5
3350;75.32992097;2;5
3400;74.64222444;2;4
3450;73.53235198;2;4
3500;71.64472615;3;4
3550;71.4163673;3;3
3600;70.51417902;3;3
3650;70.79641639;3;3
3700;70.68142249;3;3
3750;69.75991801;3;3
3800;69.77017262;3;3
3850;69.68749004;2;2
3900;69.10591298;3;3
3950;69.47173158;2;3
4000;67.19830217;2;3
