trace_nb;log2(key_rank);correct_bytes;pge_median
10;127.5884805;0;176
15;127.4982247;0;151
20;126.9057258;0;139
25;126.4307761;0;144
30;126.9111615;0;145
35;127.216458;0;147
40;127.4488948;0;146
45;127.5305946;0;136
50;126.9551887;0;128
55;126.7476224;0;134
60;127.268254;0;161
65;127.1680686;0;129
70;127.2302081;0;137
75;127.2054723;0;128
80;127.1953675;0;124
85;126.9724182;0;117
90;126.7783927;0;127
95;126.7573155;0;120
100;126.4931911;0;116
105;125.9767875;0;113
110;125.5813371;0;105
115;125.5493175;0;110
120;125.5300865;0;113
125;125.8751236;0;101
130;125.8153535;0;103
135;124.9854887;0;100
140;124.9196528;0;124
145;125.2629025;0;136
150;124.8168114;0;105
155;124.9539066;0;110
160;124.7455696;0;110
165;124.516729;0;110
170;124.863203;0;103
175;124.5104897;0;99
180;124.5626911;0;89
185;123.8905304;0;89
190;123.2256477;0;86
195;123.3064284;0;83
200;123.2762963;0;77
205;123.6311933;0;86
210;123.3029866;0;81
215;124.111393;0;88
220;123.8486895;0;82
225;123.6677595;0;80
230;123.4731053;0;91
235;123.4770984;0;78
240;123.5860859;0;81
245;123.6040128;0;80
250;123.0119457;0;71
255;123.5754176;0;82
260;123.8389254;0;82
265;123.2117242;0;82
270;122.6562487;0;85
275;123.0716467;0;77
280;123.1456436;0;82
285;123.058953;0;90
290;122.3719724;0;91
295;122.1707896;0;89
300;122.1830425;1;85
305;121.1112214;1;80
310;121.111392;0;84
315;120.7844524;0;92
320;121.1773752;0;94
325;121.8435678;0;71
330;121.6688426;0;77
335;121.8070707;0;80
340;121.61322;0;75
345;122.1540119;0;70
350;121.9392298;0;71
355;121.9027049;0;77
360;121.5469492;1;81
365;122.1200195;0;74
370;122.5789238;0;78
375;122.2952437;0;66
380;122.4411958;0;66
385;121.494783;0;61
390;120.9226485;0;62
395;121.2956812;0;64
400;121.4097614;0;63
405;121.9000592;0;65
410;122.3557391;0;70
415;122.7673847;0;77
420;122.8106773;0;80
425;122.6886673;0;79
430;121.5987007;0;68
435;120.956193;0;65
440;120.736327;0;74
445;120.5581748;0;72
450;119.4439912;0;71
455;119.8355407;0;69
460;120.8994108;0;71
465;120.882432;0;68
470;120.4910011;0;62
475;120.7517985;0;64
480;121.1123138;0;66
485;121.2028704;0;73
490;121.7212947;0;74
495;121.0193223;0;62
500;121.0878459;0;64
505;121.0389729;0;62
510;121.192282;0;67
515;121.1392974;0;73
520;121.9736967;0;67
525;122.0867853;0;70
530;121.5865079;0;63
535;121.6658256;0;64
540;121.6761732;0;62
545;121.6233641;0;64
550;121.7122819;0;62
555;121.5204659;0;64
560;121.3419214;0;61
565;121.5534033;0;64
570;121.6093182;0;64
575;121.768268;0;61
580;121.974968;0;63
585;121.5033686;0;65
590;122.2813918;0;70
595;122.6190618;0;80
600;122.7439862;0;80
605;123.1382089;0;80
610;122.5354064;0;81
615;122.6293718;0;73
620;122.5677254;0;74
625;122.4485334;0;73
630;122.1972457;0;66
635;122.4374339;0;67
640;122.1392356;0;65
645;122.0850205;0;67
650;121.8755146;0;62
655;121.5481385;0;72
660;121.6747088;0;67
665;122.2719107;0;68
670;122.2714281;0;73
675;122.1472102;0;78
680;121.8862121;0;71
685;121.3691415;0;66
690;121.2415662;0;62
695;120.9486326;0;63
700;121.1666606;0;63
705;121.1764172;0;65
710;120.842952;0;61
715;120.9770565;0;60
720;120.8389613;0;60
725;120.7101594;0;54
730;120.6365789;0;54
735;120.6728887;0;57
740;120.2972154;0;55
745;119.6795539;0;51
750;120.290507;0;51
755;120.3955542;0;54
760;120.4623146;0;51
765;120.3188899;0;48
770;120.1018402;0;52
775;120.3095616;0;48
780;120.0147244;0;45
785;120.0625161;0;45
790;120.1974021;0;49
795;119.7392436;0;46
800;120.3942406;0;62
805;120.5424553;0;61
810;120.2624418;0;64
815;121.1143658;0;70
820;120.7718167;0;68
825;120.6186152;0;66
830;120.6692603;0;64
835;121.4263557;0;66
840;121.4977878;0;70
845;121.6512013;0;78
850;121.9658595;0;76
855;121.8823723;0;71
860;121.6565856;0;76
865;122.3223507;0;79
870;122.2437852;0;78
875;122.0123228;0;72
880;121.9889216;0;69
885;122.5696978;0;69
890;122.8119577;0;71
895;122.4053136;0;67
900;122.7360135;0;66
905;122.7098934;0;64
910;122.6404572;0;59
915;122.6156097;0;60
920;122.8409307;0;58
925;122.5877751;0;62
930;122.9758248;0;66
935;123.13122;0;70
940;123.4430899;0;72
945;123.2930658;0;69
950;123.5404341;0;76
955;123.1187313;0;76
960;123.2272436;0;79
965;123.2084209;0;78
970;123.0126677;0;79
975;123.1463769;0;75
980;123.265649;0;82
985;123.3816098;0;76
990;123.5552858;0;77
995;123.4795633;0;71
1000;123.3396565;0;68
1050;122.3058899;0;52
1100;122.8067743;0;71
1150;122.9910706;0;79
1200;123.0293787;0;73
1250;123.5068803;0;85
1300;122.8273619;0;75
1350;123.8729263;0;91
1400;123.0075279;0;84
1450;122.8947959;0;86
1500;123.2882411;0;87
1550;124.008844;0;99
1600;123.9627625;0;100
1650;123.2390806;0;93
1700;123.5167615;0;90
1750;123.6969387;0;93
1800;124.0082794;0;93
1850;124.2183584;0;100
1900;124.2413347;0;102
1950;124.32355;0;101
2000;124.4329933;0;97
2050;124.3584666;0;97
2100;123.9910021;0;102
2150;124.1036302;0;105
2200;123.7469105;0;89
2250;123.0882251;0;79
2300;122.3131124;0;88
2350;121.4176811;0;75
2400;121.8478186;0;89
2450;122.1201781;0;84
2500;121.9196491;0;77
2550;122.5703586;0;83
2600;121.919239;0;88
2650;121.8524302;0;90
2700;121.8225538;0;92
2750;122.3785768;0;87
2800;122.8553713;0;105
2850;122.9952009;0;97
2900;123.1017332;0;90
2950;123.272916;0;91
3000;123.3483075;0;102
3050;123.4230016;0;118
3100;123.8424089;0;117
3150;124.0303131;0;113
3200;124.4497216;0;131
3250;124.7110061;0;132
3300;124.8632302;0;136
3350;124.5515367;0;127
3400;124.7095574;0;125
3450;124.2937079;0;121
3500;123.6373731;0;117
3550;124.0679399;0;130
3600;124.3160788;0;130
3650;123.8907542;0;121
3700;123.6390165;0;118
3750;123.4183273;0;121
3800;123.2651886;0;128
3850;123.6377062;0;125
3900;123.1423283;0;113
3950;122.7984687;0;122
4000;122.9459677;0;117
4050;122.4581573;0;108
4100;122.4169721;0;103
4150;122.2046303;0;102
4200;122.123701;0;97
4250;122.4471513;0;104
4300;122.2380262;0;99
4350;122.2860682;0;89
4400;121.3973023;0;87
4450;121.0744773;0;80
4500;120.5740035;0;76
4550;121.069412;0;84
4600;121.3515183;0;85
4650;121.659146;0;88
4700;121.5213216;0;86
4750;121.2520883;0;79
4800;120.9330365;0;75
4850;120.9900049;0;74
4900;120.9939702;0;76
4950;121.58328;0;76
5000;121.7060123;0;79
5050;121.7788219;0;79
5100;121.6343526;0;79
5150;121.8119412;0;77
5200;121.7075704;0;81
5250;121.4749037;0;75
5300;121.725314;0;88
5350;121.6048703;0;83
5400;121.9379166;0;88
5450;121.6180634;0;86
5500;121.5379099;0;80
5550;121.0267749;0;75
5600;121.1444152;0;70
5650;120.7172144;0;67
5700;120.5062552;0;64
5750;120.3772851;0;65
5800;120.5065911;0;68
5850;120.5138128;0;70
5900;120.6072165;0;69
5950;120.3594087;0;73
6000;120.3019637;0;74
6050;119.8925928;0;67
6100;120.0689657;0;64
6150;119.7604153;0;58
6200;119.4124718;0;58
6250;119.6118011;0;57
6300;119.1777543;0;55
6350;118.9085009;0;58
6400;119.332776;0;67
6450;119.720837;0;67
6500;119.2848115;0;65
6550;119.2476162;0;63
6600;119.0902307;0;64
6650;118.8588425;0;62
6700;118.6842438;0;55
6750;118.6363485;0;54
6800;118.8911919;0;58
6850;118.9682353;0;58
6900;118.6538983;0;61
6950;118.411159;0;60
7000;118.4835425;0;61
7050;118.4708482;0;60
7100;118.3156091;0;58
7150;117.8794194;0;54
7200;117.7822611;0;53
7250;117.6979875;0;50
7300;117.6126066;0;49
7350;117.2312849;0;44
7400;117.4965961;0;48
7450;117.4373672;0;48
7500;117.6439245;0;49
7550;117.6075475;0;48
7600;117.3616081;0;45
7650;117.3192478;0;44
7700;116.8265649;0;46
7750;116.487042;0;45
7800;116.5729122;0;44
7850;116.5413003;0;46
7900;115.9160144;0;45
7950;115.7091267;0;43
8000;115.7850028;0;45
8050;115.6586494;0;43
8100;115.6455767;0;43
8150;115.1331551;0;42
8200;114.8297555;0;43
8250;114.2970375;0;42
8300;114.1086056;0;38
8350;113.8665947;0;38
8400;113.7045844;0;38
8450;113.8491349;0;40
8500;113.7811817;0;40
8550;113.695304;0;37
8600;113.1199235;0;34
8650;113.0719008;0;33
8700;112.887731;0;33
8750;112.4045095;0;32
8800;112.3225117;0;31
8850;111.845777;0;31
8900;111.8236484;0;30
8950;111.7826616;0;31
9000;111.5468708;0;31
9050;111.4802823;0;31
9100;111.4475467;0;33
9150;110.7772088;0;31
9200;110.129137;0;29
9250;109.923291;0;28
9300;110.0353463;0;29
9350;110.0000149;0;28
9400;109.7749274;0;25
9450;109.7972533;0;24
9500;109.1116334;0;24
9550;108.7855271;0;23
