trace_nb;log2(key_rank);correct_bytes;pge_median
10;98.56741925;2;23
15;101.1967707;0;24
20;93.13455793;1;20
25;88.55147192;1;20
30;85.73845445;1;14
35;84.5535315;0;11
40;90.99124709;1;14
45;84.46528778;1;12
50;81.42180979;1;10
55;78.47781227;1;11
60;79.68035477;1;10
65;79.51008942;2;9
70;77.6074761;2;7
75;75.70452588;1;7
80;75.2409516;1;9
85;73.1024728;1;9
90;73.87497927;0;8
95;74.75483466;0;9
100;75.03518762;1;10
105;74.95182189;1;10
110;74.78907326;1;9
115;73.52931652;1;9
120;73.11945504;1;9
125;72.35957573;1;9
130;71.13429916;1;9
135;71.22667792;1;7
140;70.93096557;0;7
145;70.23739328;0;7
150;69.92816574;0;6
155;69.4011396;0;5
160;69.13402533;0;5
165;68.57079428;0;4
170;68.16661909;0;5
175;68.34894516;0;7
180;68.6153022;0;7
185;68.25189554;0;6
190;67.88249967;0;6
195;67.42636042;1;6
200;67.39965249;1;5
205;67.48992111;1;6
210;67.586057;1;6
215;68.10754594;1;6
220;67.51238866;1;6
225;66.93994631;1;6
230;66.8975419;1;6
235;66.9174505;1;7
240;67.20694812;1;7
245;67.00854472;1;6
250;67.28025812;1;6
255;67.7082897;1;7
260;68.08928593;1;7
265;67.63572745;1;6
270;67.33940197;1;6
275;66.91895697;1;7
280;67.39796806;1;6
285;67.38016758;1;7
290;67.48326916;1;6
295;67.88366756;1;7
300;67.30994931;1;7
305;67.43801354;1;7
310;68.54977769;1;8
315;68.49770688;1;8
320;68.51491455;0;8
325;68.91848784;0;8
330;68.98363402;1;8
335;68.99577657;1;7
340;68.69389101;0;8
345;68.48942107;0;8
350;68.34311043;0;8
355;68.19859342;0;8
360;68.30955917;0;9
365;68.43991844;1;8
370;68.08306658;0;9
375;68.37236663;0;8
380;67.32804116;0;8
385;67.85051497;0;8
390;67.11243761;0;9
395;67.73764962;0;9
400;67.22678887;0;9
405;67.30101511;0;8
410;67.20819996;0;10
415;67.37816877;1;9
420;67.76229705;1;9
425;68.26953117;1;10
430;67.69774236;1;9
435;67.70314055;1;9
440;67.19295993;1;9
445;67.01158852;1;8
450;67.2845969;1;8
455;67.59013105;1;9
460;67.16197162;1;9
465;67.12413351;1;8
470;66.39799783;1;9
475;66.14417116;1;9
480;65.97121536;1;9
485;66.08305393;1;9
490;65.32836868;1;8
495;64.96271812;1;9
500;65.59619365;1;9
505;65.5452679;1;9
510;65.75777342;1;9
515;65.61933029;1;9
520;65.44273387;1;11
525;65.29687719;1;9
530;65.10842485;1;8
535;65.10335028;1;8
540;65.39248583;1;9
545;65.73487128;1;10
550;65.38654323;1;10
555;65.4898762;1;9
560;65.47391907;1;9
565;65.17213129;1;9
570;65.19437047;1;9
575;65.28205717;1;9
580;65.03271559;1;9
585;64.95545376;1;10
590;64.91401332;1;10
595;65.21277304;1;9
600;64.72413475;1;10
605;64.70545379;1;9
610;65.09060796;1;10
615;65.07192502;1;10
620;64.96133732;1;9
625;64.91261946;1;9
630;64.42608592;1;8
635;64.21691814;1;9
640;64.06999274;1;9
645;64.21806912;1;9
650;64.65669248;1;9
655;64.7933328;2;10
660;65.32809805;2;10
665;65.42149798;1;9
670;65.03037083;2;8
675;64.98248787;2;8
680;64.96973335;1;8
685;64.90232781;1;8
690;65.18983711;2;9
695;64.90960391;2;9
700;65.09656406;2;9
705;65.38253548;1;9
710;64.80212847;2;8
715;65.221809;2;8
720;64.86650184;2;8
725;64.77867614;2;8
730;64.65906219;1;8
735;65.16206648;1;8
740;65.17873709;1;8
745;65.380729;1;7
750;64.77036531;2;8
755;65.33068584;2;8
760;64.64666783;2;7
765;65.12268389;2;7
770;65.16990257;2;7
775;64.63916096;2;7
780;64.29543223;2;7
785;64.41951206;2;6
790;63.99059744;2;6
795;64.37642519;1;7
800;64.28815995;2;6
805;64.4376822;2;7
810;64.59558974;2;8
815;64.51971592;2;8
820;64.84361476;1;8
825;64.30170415;1;8
830;64.38645611;1;8
835;64.27453339;1;8
840;64.25184312;1;8
845;64.23345387;1;8
850;64.02842059;1;8
855;64.06113455;1;8
860;64.01942393;1;8
865;63.8342211;1;8
870;63.71825553;1;7
875;63.75229317;1;8
880;63.79276533;1;8
885;63.95685542;1;7
890;63.89115825;1;7
895;63.57804964;1;7
900;63.82433729;1;8
905;63.46882388;1;8
