trace_nb;log2(key_rank);correct_bytes;pge_median
10;91.15291393;1;6
135;66.02122996;2;5
260;66.4243299;0;9
385;66.86376276;0;9
510;65.39173678;1;9
635;65.10970133;1;8
760;64.97160863;0;9
885;64.48096698;0;7
1000;63.85536621;0;5
1250;63.85621765;1;6
1500;63.58144143;0;6
1750;63.34715128;1;7
2000;63.81153072;0;8
2250;63.99274738;0;9
2500;63.64694882;0;8
2750;62.84215479;0;6
3000;62.8159223;0;8
3250;63.22620028;0;9
3500;63.09821536;0;7
3750;63.28374488;0;7
4000;63.4236532;0;8
4250;63.38787909;0;8
4500;63.63102418;0;9
4750;63.74445147;0;8
5000;63.72347774;0;8
5250;63.75149166;0;9
5500;63.8584763;0;10
5750;63.70715664;0;10
6000;63.83829211;0;10
6250;63.87112524;0;9
6500;63.83935354;0;10
6750;63.78686055;1;10
7000;63.71603077;2;10
7250;63.72960298;1;12
7500;63.81196587;1;10
7750;63.9081945;0;10
8000;63.66342908;1;11
8250;63.9334681;1;10
8500;63.92641183;0;10
8750;63.85139614;0;9
9000;63.88832882;0;10
9250;63.82340705;0;10
9500;63.91094547;0;11
9750;63.95807842;0;11
10000;63.9208861;0;11
10500;63.87783304;0;12
11000;63.92672039;1;11
11500;63.78139568;1;10
12000;63.94722626;1;9
12500;63.85084082;0;9
13000;63.85040942;0;9
13500;63.95870211;0;9
14000;63.67688312;0;8
14500;63.75007282;0;8
15000;63.92042602;1;9
15500;63.88153449;1;10
16000;63.89731721;0;9
16500;63.94830888;0;9
17000;63.85631211;0;9
17500;63.79810462;0;7
18000;63.90078749;0;8
18500;63.46802803;0;7
19000;63.49502699;0;7
19500;63.50871297;0;7
20000;63.48529914;0;7
