trace_nb;log2(key_rank);correct_bytes;pge_median
10;108.6848813;1;27
135;78.4285474;1;8
260;80.40047261;2;9
385;81.6612762;2;11
510;81.87338092;0;12
635;79.26509483;1;11
760;77.81239589;1;13
885;74.7530669;1;8
1000;73.43247315;1;7
1250;72.79648932;1;9
1500;71.15471097;2;9
1750;71.29287229;1;9
2000;68.58635298;2;8
2250;69.90741093;1;8
2500;69.97558757;1;8
2750;67.63682421;2;8
3000;65.588855;1;7
3250;66.76667918;1;6
3500;68.09927674;1;9
3750;67.97366444;1;9
4000;68.39285164;1;7
4250;67.29556814;0;8
4500;68.1371371;1;8
4750;68.83773463;1;9
5000;68.1710552;1;9
5250;67.82186417;1;9
5500;69.13449724;1;10
5750;68.60613097;1;10
6000;68.44817654;1;10
6250;68.8177753;1;10
6500;68.31343758;1;10
6750;67.90509287;1;9
7000;67.56258895;1;9
7250;67.67090159;1;9
7500;67.67882615;1;10
7750;67.43118369;1;10
8000;67.53496264;1;10
8250;67.43084755;1;9
8500;67.3265701;1;9
8750;67.2300987;1;10
9000;66.97748119;2;10
9250;66.12881079;1;9
9500;66.08761208;1;9
9750;66.44951734;1;10
10000;66.32803521;2;10
10500;65.83364761;2;10
11000;65.52885731;1;8
11500;64.81225045;1;8
12000;64.9370337;1;9
12500;64.9835558;0;9
13000;65.26138389;1;9
13500;65.24319503;0;10
14000;64.49898362;0;10
14500;63.91341147;1;8
15000;64.73369037;1;8
15500;64.82691682;2;8
16000;64.80687883;1;10
16500;64.85875108;1;10
17000;64.71514819;0;8
17500;63.91528208;1;10
18000;63.81404003;0;9
18500;63.42015764;1;10
