trace_nb;log2(key_rank);correct_bytes;pge_median
10;100.6564761;0;19
135;68.13129982;0;6
260;66.93284045;1;8
385;61.91993976;0;5
510;60.41521866;1;6
635;61.43324549;1;6
760;62.51078527;0;6
885;61.88601529;0;5
1000;62.44284244;1;7
1250;64.86440902;1;6
1500;63.3989223;0;7
1750;64.18198546;0;7
2000;63.44626849;1;6
2250;63.43759852;0;7
2500;63.22570453;0;6
2750;62.53900407;0;6
3000;62.13029079;0;6
3250;62.37688427;0;7
3500;62.39078942;0;8
3750;62.20403137;0;7
4000;62.35713809;0;7
4250;61.91133886;1;6
4500;62.38193331;1;7
4750;62.9687694;0;7
5000;61.95131693;1;8
5250;62.69519103;0;8
5500;63.30278885;0;8
5750;63.30812013;0;7
6000;62.78899019;0;7
6250;63.08296705;0;7
6500;63.06542605;0;7
6750;63.41099239;0;7
7000;63.27971454;0;7
7250;63.00269333;0;7
7500;63.05375465;0;7
7750;62.93577884;0;7
8000;63.13903158;0;6
8250;63.20947298;0;7
8500;62.52331488;0;6
8750;63.06375539;0;6
9000;62.60608019;0;6
9250;62.40246897;0;5
9500;61.72540301;0;5
9750;62.59797987;1;5
10000;62.75174135;1;7
10500;62.52732111;0;5
11000;62.46842229;0;5
11500;62.47130446;0;6
12000;63.05617874;0;5
12500;63.21711763;0;6
13000;63.39962531;0;5
13500;63.56245738;0;7
14000;63.41809288;0;6
14500;63.66454632;0;6
15000;63.53447247;0;6
15500;63.43157934;0;7
16000;63.60408875;0;7
16500;63.05982865;0;7
17000;62.84651122;0;7
17500;62.53853631;0;7
18000;62.3686669;0;6
18500;61.2620617;1;5
