trace_nb;log2(key_rank);correct_bytes;pge_median
10;107.8231322;0;34
50;82.86006583;2;9
90;80.59745721;0;11
130;80.9374236;1;11
170;76.79715519;0;8
210;75.98915076;0;8
250;76.52168022;0;10
290;76.03710287;1;9
330;77.80709379;1;10
370;76.30001782;1;10
410;74.85887474;1;8
450;75.67570964;1;10
490;75.90796622;1;10
530;75.70797732;2;10
570;74.86026773;2;9
610;74.46975144;2;11
650;75.01389456;2;11
690;75.28979784;2;11
730;74.59627704;2;13
770;73.89572051;2;11
810;74.26854275;2;11
850;74.23185848;2;11
890;73.97965743;2;12
930;73.09565489;2;11
970;73.22466796;2;13
1010;72.66202935;1;13
1050;72.45531445;1;13
1090;72.33837542;1;13
1130;71.28238238;1;14
1170;71.73999011;2;13
1210;71.47335704;2;12
1250;70.93483284;2;12
1290;71.66927001;1;12
1330;70.90456638;1;12
1370;70.96010981;1;11
1410;70.81791;2;12
1450;70.70065187;2;10
1490;70.96703421;2;11
1530;70.80212738;3;11
1570;71.19075886;3;12
1610;70.86547612;3;12
1650;71.12650329;3;11
1690;70.80470751;3;12
1730;70.3204533;1;11
1770;69.8259981;2;10
1810;69.64376003;2;9
1850;69.84627632;1;10
1890;69.2803227;1;11
1930;69.66324368;1;10
1970;68.72309788;1;10
2010;68.96515842;1;10
2050;68.19784528;1;10
2090;67.48893261;1;10
2130;67.61792893;2;8
2170;67.4844929;1;9
2210;67.48835926;1;9
2250;68.39325745;1;10
2290;67.79564373;1;10
2330;67.32781366;2;10
2370;67.41247335;2;10
2410;67.77704545;2;10
2450;67.53105405;1;10
2490;67.14239918;1;10
2530;67.07348145;2;10
2570;66.22727361;1;9
2610;65.92001401;1;8
2650;65.73033905;1;8
2690;66.51522434;1;9
2730;65.93342229;1;9
2770;65.82177418;1;8
2810;65.39921549;1;8
2850;64.86935346;1;7
2890;65.26775137;1;8
2930;65.27766106;1;8
2970;65.31094056;1;8
3010;64.93832292;1;7
3050;64.84520686;1;7
3090;65.15565548;1;8
3130;65.10758753;1;8
3170;65.9335826;2;9
3210;66.03497534;1;9
3250;65.39842252;0;9
3290;65.67097836;0;9
3330;65.69311352;1;9
3370;65.34963341;1;9
3410;65.22453328;1;9
3450;65.74198683;2;9
3490;65.72210302;2;9
3530;65.68685535;2;9
3570;66.03036314;1;10
3610;65.52357637;2;9
3650;66.93297389;1;9
3690;67.10757026;2;8
3730;67.43873729;2;9
3770;66.39461702;2;8
3810;67.10949073;2;9
3850;66.7354952;2;9
3890;66.47619049;1;9
3930;66.96077137;1;9
3970;67.42620629;2;9
4010;66.98498244;1;9
4050;67.11654465;0;9
4090;67.23157802;0;9
4130;67.58115042;0;9
4170;67.40540862;0;9
4210;67.20138195;0;9
4250;67.39115946;0;9
4290;67.20522489;0;9
4330;66.75954986;0;9
4370;67.34293684;0;9
4410;66.98191276;0;8
4450;67.31226903;0;8
4490;67.01037267;0;7
4530;66.8593945;0;8
4570;67.41763392;0;8
4610;66.94324421;0;9
4650;67.03887577;0;8
4690;66.76363054;0;8
4730;66.86010785;0;7
4770;66.44845599;0;7
4810;66.73099995;0;8
4850;65.93919781;0;8
4890;65.83975762;0;8
