trace_nb;log2(key_rank);correct_bytes
10;125.4125357;0
60;122.31685;0
110;116.4553643;0
160;113.1365815;0
210;110.3127937;0
260;105.656643;0
310;104.8415147;0
360;107.5951735;0
410;108.2015465;0
460;107.14844;0
500;104.1761476;1
600;105.0863606;0
700;97.00028319;0
800;97.26484175;1
900;91.73904916;1
1000;90.30908616;0
1250;83.00763925;0
1500;77.30137617;0
1750;71.76415582;0
2000;67.59754153;0
2500;60.21105972;1
3000;53.37255008;1
3500;48.45645535;3
4000;49.49567803;2
5000;49.70991235;3
6000;46.38901869;3
7000;46.74153395;4
8000;44.87889507;2
9000;45.79255346;1
10000;45.90387743;3
11000;46.31408239;2
12000;43.41619502;2
13000;42.95075288;2
14000;41.85842403;4
15000;39.62306038;5
