trace_nb;correct_bytes;log2(key_rank)
10;0;127.8396861
35;0;125.7048433
60;0;123.8132399
85;0;120.8913904
110;0;117.3890044
135;0;115.566924
160;0;111.503463
185;0;106.3013327
210;1;105.8841943
235;1;105.4464074
260;1;98.91021207
285;1;100.7105749
310;1;96.78375767
335;3;96.04763138
360;2;93.01597033
385;2;92.87636311
410;1;89.57384758
435;0;88.97563349
460;1;89.31362375
485;1;85.97635559
510;1;87.60882146
535;1;87.30114879
560;0;85.8305733
585;0;85.65302361
610;0;84.88706617
635;0;83.06803154
660;0;81.34326441
685;0;81.51899918
710;0;82.90336415
735;1;84.99303782
760;0;84.21588573
785;1;83.71641437
810;1;83.29991118
835;1;80.50112446
860;1;82.19630893
885;1;80.25392782
910;1;81.76581612
935;1;82.71439983
960;1;81.0702784
985;1;80.90618286
1000;1;81.10490235
1100;2;78.80881153
1200;1;77.96856681
1300;1;77.85471682
1400;1;76.90187776
1500;1;74.92648268
1600;1;71.55944786
1700;1;73.65068006
1800;0;73.17745834
1900;2;69.12320146
2000;1;68.23269957
2100;1;65.00023224
2200;1;66.45792267
2300;2;65.36701496
2400;1;66.96755168
2500;2;65.57413231
2600;2;65.70339197
2700;2;64.47275681
2800;2;64.78254834
2900;1;64.74933436
3000;1;63.67003875
3300;1;59.81313054
3600;1;61.55431584
3900;1;61.55800732
4200;1;59.9941884
4500;2;58.94235864
4800;2;56.64306419
5100;2;55.21637448
5400;2;52.2356234
5700;3;52.09726554
6000;2;51.24575273
6300;3;49.4622949
6600;2;49.88737285
6900;3;47.82543443
7200;3;46.37820638
7500;3;45.23465025
7800;3;45.44850342
8100;3;45.92910068
8400;4;44.81073989
8700;3;45.88542398
9000;3;45.86120145
9300;3;45.20600333
9600;2;45.3920332
9900;3;45.10528739
10200;4;44.10916369
10500;3;42.48714187
10800;5;40.68767902
11100;3;41.57454301
11400;3;42.04957858
11700;4;40.68402117
12000;4;40.67560676
12300;3;41.3209069
12600;4;41.40796758
12900;4;40.35301777
13200;5;39.99443266
13500;6;38.14182255
13800;5;37.90374102
14100;5;38.76536011
14400;5;37.5470469
14700;5;38.82294185
15000;3;39.16716374
15300;4;38.26637702
15600;3;39.06561296
15900;3;39.36029232
