trace_nb;correct_bytes;log2(key_rank)
10;3;52.651131
30;2;53.49851239
50;2;50.00524484
70;0;75.56090233
90;1;60.44869534
110;1;53.80889795
130;1;46.97285202
150;3;42.11210611
170;3;39.30565025
190;4;37.60711417
210;3;36.53887767
230;4;35.83870978
250;3;34.32091367
270;3;33.47896534
290;3;32.89906261
310;4;32.81747128
330;4;32.73596049
350;4;32.48385117
370;3;32.49002459
390;3;32.34543015
410;3;32.16490225
430;3;32.12677192
450;4;31.95970388
470;4;31.89336836
490;4;31.95889929
510;4;32.01177949
530;3;32.01292388
550;3;31.99422835
570;4;31.97500669
590;4;31.98456296
610;4;31.986267
630;4;31.98005228
650;4;31.9385098
670;4;31.9844233
690;4;31.98889397
710;4;31.99548526
730;4;31.97138613
750;4;31.98158725
770;4;31.9566444
790;4;31.95075655
810;4;31.93024451
830;5;31.85320168
850;4;31.97200698
870;4;31.96465973
890;3;31.97911377
910;3;31.98319512
930;4;31.93159676
950;5;31.9616539
970;5;31.95109953
990;4;31.9898246
1000;4;31.99909463
1050;3;31.99542911
1100;3;31.98344239
1150;3;31.98769067
1200;2;31.98209856
1250;3;31.95632715
1300;1;31.98984908
1350;1;31.98823861
1400;1;31.99193607
1450;1;31.99501215
1500;1;31.9983215
1550;1;31.97654697
1600;1;31.99959055
1650;1;31.99736384
1700;1;31.99878056
1750;1;31.99998984
1800;1;31.98280869
1850;1;31.99844722
1900;1;31.98237065
1950;1;31.99924755
