trace_nb;correct_bytes;log2(key_rank)
10;0;110.8801225
30;1;121.4752188
50;0;122.3260636
70;1;120.2777479
90;0;115.3756165
110;0;110.7068399
130;0;105.3749258
150;0;98.43729444
170;1;96.17080002
190;0;93.1825032
210;2;90.95994803
230;1;87.54110879
250;1;83.77197156
270;2;80.42589526
290;1;75.12109611
310;1;73.25875916
330;1;70.17815157
350;1;67.3289639
370;1;63.81637472
390;1;62.42983308
410;2;60.64889729
430;2;59.46230714
450;2;58.02978602
470;4;57.0072326
490;4;56.35084632
510;4;53.48116839
530;4;50.42271863
550;4;48.6029291
570;3;48.76357176
590;3;47.01975229
610;4;45.41182432
630;4;44.70843005
650;4;43.01802342
670;4;42.53318494
690;4;42.48710519
710;4;41.73398053
730;5;41.6254635
750;4;41.31154677
770;4;40.77091168
790;4;40.86979023
810;4;41.06102519
830;5;40.20204016
850;5;39.16417145
870;5;38.61455404
890;5;38.34304437
910;5;38.24857038
930;5;37.48011574
950;5;36.74409615
970;5;36.54598914
990;6;36.68116742
1000;6;36.74121788
1050;6;36.18877815
1100;6;36.59391314
1150;4;35.58688374
1200;3;35.14339684
1250;3;34.9382297
1300;5;34.57355387
1350;5;33.95366286
1400;6;34.31277337
1450;6;34.16613843
1500;5;35.22220302
1550;4;34.56724843
1600;4;34.6812287
1650;5;34.12554888
1700;5;33.93992936
1750;5;33.95429325
1800;4;33.50922051
1850;5;33.05872533
1900;5;33.10996358
1950;5;32.72938672
