trace_nb;correct_bytes;log2(key_rank)
10;0;125.7260214
20;0;126.8345505
30;0;125.3080393
40;0;123.3328241
50;0;120.254075
60;0;117.7134865
70;0;114.5509414
80;0;111.9601166
90;0;112.7232064
100;1;111.0055971
110;1;110.5026462
120;1;113.5566462
130;1;113.5671274
140;1;110.592972
150;2;108.6224969
160;2;107.0089618
170;2;105.2990198
180;2;106.5188895
190;2;105.6160009
200;2;101.3171009
210;2;98.31682173
220;2;92.87025422
230;2;93.38051759
240;2;92.05702551
250;1;90.13394585
260;1;88.98240683
270;3;86.04977504
280;2;87.24072611
290;1;89.62371221
300;2;88.59352497
310;2;87.15754309
320;1;86.97157319
330;1;89.9814382
340;1;91.20002387
350;1;88.36768379
360;1;88.76471995
370;1;87.68851069
380;2;88.01824173
390;1;86.49325091
400;1;87.809748
410;2;85.85534293
420;1;84.759149
430;2;83.04566205
440;2;82.35134906
450;1;80.03406185
460;1;82.16287966
470;1;80.48596704
480;1;78.53221372
490;1;77.81516956
500;1;76.21995532
530;1;77.25779577
560;1;76.38074348
590;2;72.73439307
620;4;68.47492221
650;2;69.67025877
680;3;69.34352761
710;4;70.06943796
740;1;69.95528601
770;2;69.03568329
800;2;68.52123308
830;3;66.37406622
860;3;63.75648825
890;1;65.66695718
920;1;63.01916111
950;3;60.58205671
980;3;59.44311929
1000;3;58.077002
1060;3;55.0326973
1120;4;53.79637416
1180;4;52.16591267
1240;3;51.2232537
1300;3;49.42958019
1360;2;47.17769952
1420;1;46.74597066
1480;1;47.10455102
1540;1;45.91105205
1600;1;47.44967129
1660;1;46.71182614
1720;1;47.07414562
1780;1;45.8760747
1840;1;44.69378819
1900;1;43.35747361
1960;1;42.67879306
2000;1;42.14121919
2200;1;41.04671749
2400;0;42.49132405
2600;2;39.37277967
2800;3;37.30864276
3000;4;37.41982999
3200;4;37.2249046
3400;4;35.74556173
3600;3;34.17965508
3800;3;35.0600468
4000;3;34.41890333
4200;3;35.24573614
4400;3;35.87341485
4600;3;36.35897392
4800;3;35.92240436
5000;3;34.33803373
5200;4;34.49685576
5400;4;34.54130516
5600;4;33.80452005
5800;4;33.39725347
6000;4;32.24074422
6200;5;31.18792961
6400;6;30.42407436
6600;3;30.8439258
6800;6;30.82680352
7000;6;31.20465306
7200;4;30.83982099
7400;4;29.99865994
7600;6;29.96791558
7800;6;29.94932897
8000;4;29.71038537
8200;5;30.15576724
8400;5;30.53126316
8600;5;30.96119981
8800;4;30.40444114
9000;5;30.61458324
9200;5;30.83513435
9400;4;30.88760642
9600;5;30.86898245
9800;5;31.09320865
