trace_nb;correct_bytes;log2(key_rank)
10;0;127.1225811
20;0;126.6738075
30;0;127.386553
40;0;126.8145799
50;0;127.5669052
60;0;127.7435332
70;0;127.8620538
80;0;127.8686353
90;0;127.6014761
100;0;127.5986322
110;0;127.518116
120;0;127.2038596
130;0;126.5932372
140;0;126.2676453
150;0;126.087731
160;0;125.5251945
170;0;124.0712908
180;0;123.9634857
190;0;122.31221
200;0;123.0360459
210;0;122.6510541
220;0;123.2801364
230;0;124.0363632
240;0;123.268882
250;0;123.4203443
260;0;122.7818304
270;0;122.0589412
280;0;120.7412136
290;0;120.7536112
300;0;121.6687853
310;0;121.7686219
320;0;122.6070473
330;0;122.3347183
340;0;121.3910014
350;0;119.6804565
360;0;119.3130731
370;0;116.9919293
380;0;115.7209861
390;0;116.719097
400;0;116.8838578
410;0;116.2190409
420;0;117.1678446
430;0;118.4838338
440;0;117.1053062
450;0;116.5689104
460;0;116.8414719
470;1;117.285016
480;1;116.9794524
490;1;115.7024118
500;1;115.4788819
530;2;116.2005914
560;1;116.3559981
590;1;115.9800207
620;1;117.6419133
650;1;118.1628977
680;0;117.9456781
710;1;116.8733225
740;1;116.107924
770;1;116.7316337
800;1;117.4653151
830;1;116.2663537
860;1;117.0511088
890;1;115.0964748
920;0;114.8653801
950;0;115.8737741
980;0;116.3389054
1000;0;117.1973391
1060;1;118.4840075
1120;1;117.3554673
1180;0;116.7576553
1240;1;115.8582487
1300;0;114.0376148
1360;0;113.6228559
1420;0;114.6012649
1480;0;114.3248728
1540;0;114.1163972
1600;0;113.7169927
1660;0;114.7654391
1720;0;114.6640818
1780;0;112.6083964
1840;0;112.3521863
1900;0;111.9086402
1960;0;111.5159045
2000;0;110.6439085
2200;0;108.4756752
2400;0;110.0620527
2600;0;112.8007439
2800;0;110.7805368
3000;0;110.00857
3200;0;111.7063121
3400;0;110.1760813
3600;0;108.8453026
3800;0;109.898392
4000;0;109.1965533
4200;0;108.9778696
4400;0;106.8662617
4600;0;105.4090033
4800;0;103.4385913
5000;0;100.6363253
5200;1;99.56443177
5400;0;99.60482542
5600;0;97.30458914
5800;0;97.43733955
6000;0;95.37284038
6200;0;96.39549846
6400;0;95.63249037
6600;0;95.13880991
6800;0;93.98627152
7000;0;92.15870366
7200;0;93.06899989
7400;0;94.29333005
7600;0;97.16845907
7800;0;97.41509983
8000;0;96.31417511
8200;0;98.81664729
8400;0;98.48291997
8600;0;97.47753819
8800;0;97.35531461
9000;0;96.68636534
9200;0;95.53521434
9400;0;94.22742098
9600;1;91.68964154
9800;1;91.43408016
